iter	score	return_pct	win_rate	max_dd	cal_error	trades	closed	confidence	train_window	retrain_every	sl	tp	max_pos	lr	depth	estimators	min_child	kept	runtime_s
1	0.4631	12.42	39.5	9.23	0.079	84	38	0.65	100	21	0.05	0.08	0.1	0.02	2	100	30	YES	14
2	0.2774	-8.17	46.7	8.03	0.319	214	105	0.65	100	7	0.05	0.08	0.1	0.01	3	300	15	no	52
3	0.4281	8.67	53.3	8.31	0.311	67	30	0.8	200	7	0.05	0.08	0.2	0.05	4	200	15	no	14
4	0.3149	-4.89	47.4	8.71	0.246	164	78	0.7	200	7	0.03	0.06	0.15	0.01	4	200	20	no	28
5	0.4233	3.77	57.5	8.56	0.182	182	87	0.65	300	7	0.07	0.12	0.1	0.03	4	150	10	no	41
6	0.3438	-2.09	46.7	8.06	0.229	222	107	0.65	150	21	0.03	0.06	0.1	0.01	5	200	30	no	24
7	0.4453	12.98	45.3	8.00	0.309	131	64	0.75	150	21	0.05	0.1	0.1	0.03	2	150	15	no	977
8	0.2670	-8.03	46.9	9.04	0.341	71	32	0.7	300	30	0.05	0.1	0.2	0.02	4	100	15	no	10
9	0.2601	-5.31	36.5	8.25	0.384	112	52	0.65	200	30	0.05	0.1	0.1	0.02	4	150	30	no	937
